iter	Passed	Remaining
0	18	18059
1	26	13179
2	29	9917
3	32	8095
4	34	6899
5	36	6125
6	39	5587
7	42	5310
8	47	5194
9	52	5197
10	56	5075
11	58	4799
12	61	4662
13	65	4622
14	66	4382
15	68	4222
16	69	4008
17	70	3852
18	72	3719
19	72	3571
20	74	3489
21	76	3384
22	78	3351
23	80	3268
24	81	3190
25	83	3137
26	86	3121
27	87	3039
28	88	2974
29	90	2933
30	92	2890
31	99	2996
32	101	2976
33	102	2911
34	103	2860
35	104	2799
36	105	2740
37	105	2682
38	107	2643
39	110	2652
40	111	2616
41	115	2632
42	116	2587
43	117	2561
44	118	2522
45	119	2475
46	119	2431
47	122	2436
48	124	2408
49	125	2386
50	126	2353
51	127	2333
52	129	2307
53	130	2283
54	131	2265
55	133	2244
56	135	2239
57	137	2226
58	138	2205
59	140	2201
60	141	2183
61	144	2184
62	145	2159
63	146	2143
64	147	2124
65	148	2108
66	150	2094
67	151	2070
68	152	2054
69	153	2037
70	156	2050
71	158	2040
72	159	2024
73	160	2012
74	162	2000
75	163	1987
76	165	1980
77	168	1989
78	169	1973
79	174	2002
80	176	2007
81	178	1996
82	179	1984
83	180	1971
84	181	1954
85	185	1970
86	187	1962
87	188	1954
88	189	1936
89	194	1963
90	195	1956
91	197	1952
92	198	1937
93	201	1943
94	203	1936
95	204	1929
96	206	1921
97	207	1913
98	209	1909
99	211	1900
100	212	1891
101	214	1890
102	216	1881
103	216	1869
104	218	1858
105	219	1851
106	222	1854
107	222	1840
108	231	1891
109	234	1895
110	238	1912
111	243	1929
112	244	1920
113	245	1910
114	247	1901
115	248	1893
116	249	1885
117	252	1886
118	255	1888
119	256	1881
120	258	1877
121	260	1871
122	261	1864
123	262	1855
124	264	1849
125	265	1839
126	266	1833
127	271	1852
128	273	1845
129	276	1849
130	279	1855
131	285	1875
132	292	1905
133	293	1898
134	298	1912
135	299	1903
136	301	1896
137	302	1888
138	303	1880
139	304	1872
140	305	1861
141	308	1861
142	309	1852
143	310	1845
144	311	1837
145	313	1831
146	316	1834
147	318	1832
148	319	1827
149	321	1820
150	323	1819
151	327	1825
152	331	1833
153	336	1848
154	341	1861
155	344	1862
156	348	1871
157	349	1863
158	352	1864
159	353	1857
160	355	1850
161	356	1843
162	358	1839
163	362	1847
164	363	1839
165	367	1848
166	369	1841
167	370	1835
168	371	1828
169	372	1821
170	375	1820
171	376	1810
172	377	1804
173	380	1805
174	381	1798
175	382	1789
176	383	1783
177	384	1777
178	386	1771
179	387	1764
180	388	1757
181	390	1753
182	391	1746
183	392	1739
184	393	1734
185	395	1729
186	396	1724
187	397	1717
188	398	1710
189	400	1709
190	402	1704
191	415	1748
192	418	1750
193	420	1745
194	421	1739
195	423	1737
196	424	1731
197	428	1734
198	429	1729
199	432	1730
200	434	1726
201	436	1725
202	439	1726
203	442	1727
204	444	1722
205	444	1713
206	446	1708
207	448	1709
208	451	1708
209	452	1702
210	454	1699
211	455	1691
212	456	1687
213	457	1682
214	458	1675
215	462	1680
216	469	1692
217	472	1693
218	473	1688
219	476	1688
220	479	1688
221	480	1683
222	481	1677
223	482	1672
224	486	1675
225	488	1671
226	488	1664
227	490	1659
228	491	1654
229	493	1652
230	520	1733
231	524	1735
232	527	1735
233	529	1731
234	530	1726
235	531	1721
236	533	1718
237	534	1710
238	534	1702
239	535	1697
240	538	1695
241	539	1690
242	541	1685
243	542	1681
244	544	1678
245	545	1673
246	547	1668
247	548	1664
248	551	1662
249	554	1662
250	556	1660
251	557	1655
252	558	1650
253	560	1645
254	561	1641
255	563	1636
256	564	1630
257	564	1624
258	565	1618
259	566	1613
260	568	1609
261	568	1602
262	570	1597
263	572	1596
264	573	1591
265	577	1593
266	578	1588
267	579	1583
268	580	1578
269	581	1573
270	583	1568
271	584	1565
272	586	1561
273	587	1556
274	589	1553
275	592	1553
276	593	1549
277	594	1544
278	595	1539
279	597	1535
280	599	1533
281	600	1528
282	603	1529
283	604	1525
284	606	1521
285	608	1520
286	610	1516
287	611	1511
288	612	1507
289	613	1501
290	614	1498
291	616	1494
292	617	1490
293	619	1487
294	621	1484
295	624	1485
296	625	1481
297	627	1477
298	629	1476
299	631	1473
300	632	1469
301	633	1465
302	634	1460
303	636	1456
304	639	1456
305	640	1451
306	641	1447
307	642	1443
308	643	1439
309	645	1435
310	646	1433
311	650	1434
312	653	1435
313	655	1432
314	657	1429
315	658	1425
316	660	1423
317	661	1418
318	662	1414
319	664	1412
320	666	1409
321	667	1406
322	670	1405
323	672	1402
324	674	1400
325	675	1397
326	676	1392
327	679	1391
328	681	1390
329	684	1390
330	686	1387
